shippriority,customerclass,category,productline,warehouse,regionlookup,censusdivision,stateorprovince,orderdate,affiliate,discount,unitprice,shipcost,profit,qty,sales,orderyear
Five Day,Corporation,book shelf,Office Stuff,Central W05,Midwest,East North Central,Illinois,28-08-2009,Consumer Choice,0.14,266.75,67.64,"-1,127.20",8,"1,815.00",2009
Five Day,Corporation,book shelf,Office Stuff,Central W05,Midwest,East North Central,Ohio,15-03-2009,Supply Comparer,0.06,283.98,59.94,41.7105,5,"1,415.00",2009
Five Day,Corporation,book shelf,Office Stuff,Central W05,Midwest,West North Central,Minnesota,11-01-2010,Bing,0.08,132.98,28,-76.268,1,163,2010
Five Day,Corporation,book shelf,Office Stuff,Central W05,Midwest,West North Central,South Dakota,22-06-2014,Google,0.21,249.98,12.01,"1,168.79",8,"2,033.00",2014
Five Day,Corporation,book shelf,Office Stuff,North West W01,Midwest,East North Central,Illinois,05-08-2009,Cheap Suppliez,0.03,308.11,60.74,67.2868,29,"5,874.00",2009
Five Day,Corporation,book shelf,Office Stuff,North West W01,Midwest,West North Central,Kansas,11-04-2012,Google,0.18,429.13,82.63,-422.6872,15,"4,959.00",2012
Five Day,Corporation,book shelf,Office Stuff,South West W02,Midwest,West North Central,Missouri,25-02-2010,Google,0.3,145.98,49.74,-479.7936,6,822,2010
Five Day,Corporation,chair,Office Stuff,Central W05,Midwest,East North Central,Illinois,24-12-2010,Supply Comparer,0.06,144.99,25.63,-76.293,3,507,2010
Five Day,Corporation,chair,Office Stuff,North West W01,Midwest,East North Central,Illinois,18-02-2008,Google,0.18,249.6,60.2,195.04,20,"4,390.00",2008
Five Day,Corporation,desk,Office Stuff,Central W05,Midwest,East North Central,Illinois,14-06-2012,Eco Storez,0.12,224.97,12.59,495.0134,4,840,2012
Five Day,Corporation,desk,Office Stuff,Central W05,Midwest,East North Central,Michigan,11-09-2012,Yahoo,0,141.99,66.2,238.8705,26,"3,417.00",2012
Five Day,Corporation,desk,Office Stuff,South West W02,Midwest,West North Central,Minnesota,26-04-2010,Google,0.2,299.85,58.76,-232.6779,22,"5,453.00",2010
